Date,Price,Open,High,Low,Vol.,Change %
5/23/2017,33.760,34.050,34.050,33.719,966.81K,-0.85%
5/24/2017,33.471,33.760,33.843,33.388,1.70M,-0.86%
5/25/2017,33.099,33.306,33.471,33.017,2.20M,-1.11%
5/26/2017,33.471,33.140,33.471,33.058,876.79K,1.12%
5/29/2017,33.595,33.471,33.678,33.058,949.71K,0.37%
5/30/2017,33.264,33.306,33.554,33.264,805.78K,-0.99%
5/31/2017,33.264,33.306,33.636,33.223,767.10K,0.00%
6/1/2017,33.512,33.471,33.595,33.264,860.18K,0.75%
6/2/2017,33.554,33.512,33.595,33.388,762.93K,0.13%
6/5/2017,33.554,33.471,33.595,33.264,597.86K,0.00%
6/6/2017,33.595,33.678,33.678,33.512,531.84K,0.12%
6/7/2017,33.884,33.595,33.884,33.595,598.32K,0.86%
6/8/2017,34.132,33.967,34.545,33.636,849.70K,0.73%
6/9/2017,34.380,34.215,34.545,34.215,651.27K,0.73%
6/12/2017,35.000,34.545,35.000,34.380,1.39M,1.80%
6/13/2017,35.537,35.165,35.537,34.917,1.15M,1.53%
6/14/2017,34.298,35.537,35.620,34.050,2.22M,-3.49%
6/15/2017,34.959,34.380,34.959,34.380,940.53K,1.93%
6/16/2017,35.537,35.413,35.537,35.041,4.43M,1.65%
6/19/2017,35.620,35.124,35.620,35.000,914.78K,0.23%
6/20/2017,34.959,35.702,35.702,34.959,574.96K,-1.86%
6/21/2017,35.372,34.959,35.372,34.669,673.11K,1.18%
6/22/2017,34.793,35.248,35.289,34.793,352.36K,-1.64%
6/23/2017,34.752,34.545,34.793,34.545,547.03K,-0.12%
6/26/2017,35.372,34.752,35.496,34.752,701.63K,1.78%
6/27/2017,35.207,35.372,35.372,35.124,263.15K,-0.47%
6/28/2017,35.083,35.207,35.207,34.917,291.28K,-0.35%
6/29/2017,35.000,35.372,35.372,34.959,207.79K,-0.24%
6/30/2017,35.289,35.207,35.289,34.917,547.21K,0.83%
7/3/2017,34.959,35.289,35.289,34.876,650.52K,-0.94%
7/4/2017,34.711,34.876,34.959,34.298,1.14M,-0.71%
7/5/2017,34.711,34.959,35.041,34.421,597.15K,0.00%
7/6/2017,35.041,35.124,35.124,34.711,392.35K,0.95%
7/7/2017,34.711,35.248,35.289,34.711,289.07K,-0.94%
7/10/2017,33.967,34.959,34.959,33.884,672.53K,-2.14%
